parameter,log_loss_train,log_loss_validation
0.05,0.005302909749977269,0.01640384492050122
0.055,0.0053032740680454835,0.016401453522181482
0.06,0.005309678437545409,0.01642061044764226
0.065,0.00531588222545306,0.016401450547817695
0.07,0.005317062768575305,0.016403955721859976
0.075,0.005317210890471471,0.016414496942496203
0.08,0.005320096589145135,0.016403994765407864
0.085,0.0053251126100004875,0.01641303570824538
0.09,0.005332976572224248,0.01641116468978932
0.095,0.005343236484431322,0.016404113732594722
0.1,0.005342436479838193,0.016399318181268926
0.105,0.005343662454335734,0.01639827546380437
0.11,0.005352259375438934,0.016394724460477638
0.115,0.005355367949861045,0.016412992735163435
0.12,0.005360353321076613,0.016406240072258355
0.125,0.005362306167816964,0.01640420620129453
0.13,0.005367649680280401,0.016408329721010955
