parameter,log_loss_train,log_loss_validation
5.0,0.5266296520448065,0.5097102538261632
6.0,0.3720474738904301,0.3696663693568829
7.0,0.259104775639296,0.2763219579982628
8.0,0.21693259213468824,0.2432888205179278
9.0,0.16786557150913847,0.19997996584988467
10.0,0.1527706277087559,0.1912749859558605
11.0,0.14314658535529998,0.17804517869825906
12.0,0.13766673658386766,0.17114052439098254
13.0,0.13346034655946926,0.17099339465748814
14.0,0.12535162970459152,0.16603264089742795
15.0,0.12503565500653865,0.16733845195289745
16.0,0.12116553185098275,0.1638076419724607
17.0,0.11919828376670807,0.16006685829790684
18.0,0.11808936419292669,0.16045213212335727
