parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.01,0.021296752639212334,0.020187123473516564
1.0,0.02,0.0184110392822489,0.01791515726984687
2.0,0.03,0.017026703775245698,0.01701837267127098
3.0,0.04,0.016050124270367852,0.016543243167985115
4.0,0.05,0.015253993627384112,0.016259093100642084
5.0,0.06,0.014613695942531467,0.016010302455937687
6.0,0.07,0.013920290366870555,0.015926536633975155
7.0,0.08,0.013365288233722348,0.015832339750190622
8.0,0.09,0.012795225406640532,0.015768121297936623
9.0,0.1,0.012283069186396869,0.015756870476281923
10.0,0.11,0.011738447006750958,0.01575384847285794
11.0,0.12,0.01123574827702434,0.01583590218345641
12.0,0.13,0.010811713991290134,0.01584980029913196
13.0,0.14,0.010271761085737444,0.015950881906117913
14.0,0.15,0.00989951772708376,0.01607299858250556
15.0,0.16,0.009415042553449366,0.016164492945941317
16.0,0.17,0.008945690758998282,0.01630350346452041
17.0,0.18,0.00863028322383746,0.016397594325462762
18.0,0.19,,0.01652835858147083
19.0,0.2,,0.016684345872946753
