parameter_index,parameter,log_loss_train,log_loss_validation
0.0,1.0,0.011852346781073752,0.01578705993488954
1.0,2.0,0.01547429612937771,0.015605826517623066
2.0,3.0,0.011750175906655613,0.015790577173329663
3.0,4.0,,
4.0,5.0,0.012087338312249323,0.01549164810423616
5.0,6.0,0.011938805442404127,0.015895803960840522
6.0,7.0,0.011393931041781644,0.015621300132952615
7.0,8.0,0.012256667572311152,0.01553850784595591
8.0,9.0,0.01206805748602564,0.015949797304338494
9.0,10.0,,
10.0,11.0,0.017180501636241113,0.016291050752604366
11.0,12.0,,
12.0,13.0,0.011714572956184126,0.016392253676721615
13.0,14.0,0.024470041275266,0.02230571843935454
14.0,15.0,0.012176273619505181,0.01556275740551439
15.0,16.0,0.013124885244467348,0.015560665915849361
16.0,17.0,0.017856143961765374,0.01668567468242193
