parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.05,0.016542621728518003,0.015925888578766048
1.0,0.06,0.01625002032227633,0.015816472330757787
2.0,0.07,0.015712012468224453,0.015658307039727738
3.0,0.08,0.01545522313076468,0.015615554510399416
4.0,0.09,0.015162488733685323,0.015576309198154045
5.0,0.1,0.014826960052747496,0.015550986686223876
6.0,0.11,0.014564072282928373,0.015493064447638483
7.0,0.12,0.013917510948861341,0.015607546939082147
8.0,0.13,0.013729679443386066,0.01557376839309591
9.0,0.14,0.013334294935936063,0.01557029064542637
10.0,0.15,0.013199212295545071,0.015699342828539586
