parameter_index,parameter,log_loss_train,log_loss_validation
0,KMeans_g_var_20,0.013679949510853023,0.015440822990374008
1,MiniBatchKMeans_g_var_20,0.013732829301439861,0.015421188223823566
2,KMeans_c_var_10,0.013726549215525824,0.015419788387809713
3,MiniBatchKMeans_c_var_10,0.013793628903217432,0.01540607405477174
4,Birch_c_var_15,0.01367726270483261,0.01543270423312172
5,MiniBatchKMeans_c_var_15,0.013658426022316952,0.015468622599578258
6,KMeans_c_var_25,0.013678024209596174,0.015442526903532986
7,MiniBatchKMeans_c_var_25,0.013785433214823575,0.015438200522057575
8,Birch_c_var_30,0.013774373471131612,0.015409669679809189
9,KMeans_c_var_30,0.013751282277922643,0.015451340982977211
10,MiniBatchKMeans_c_var_30,0.01375079829756957,0.015461294422777955
11,MeanShift_all_var,0.013480170234500127,0.015418851459078542
