parameter_index,parameter,log_loss_train,log_loss_validation
0,KMeans_g_var_20,0.013764184865655027,0.015479307712243609
1,MiniBatchKMeans_g_var_20,0.013681711866506314,0.015437757407400988
2,KMeans_c_var_10,0.013700663759818666,0.015449520660410186
3,MiniBatchKMeans_c_var_10,0.013768950689381254,0.015452101961630075
4,Birch_c_var_15,0.01372737935904361,0.01538631834347239
5,MiniBatchKMeans_c_var_15,0.013642593185911222,0.015434705753370545
6,KMeans_c_var_25,0.013604574923170366,0.015414057643290117
7,MiniBatchKMeans_c_var_25,0.013721044017501656,0.01545491450430547
8,KMeans_c_var_30,0.013676017082837885,0.015488574159564327
9,MeanShift_all_var,0.013378249294186633,0.015411694138842427
