parameter_index,parameter,log_loss_train,log_loss_validation
0,KMeans_all_var_150,0.014189527259435139,0.01555420936444808
1,MiniBatchKMeans_all_var_150,0.014101381846272593,0.015508263978004564
2,KMeans_all_var_206,0.014427010589491626,0.015583218164167183
3,MiniBatchKMeans_all_var_206,0.01446378421896728,0.015554383182356088
4,KMeans_all_var_250,0.014632196197221491,0.01560169650924013
5,MiniBatchKMeans_all_var_250,0.014882740190037136,0.015654708859854958
6,KMeans_all_var_300,0.014611801185985165,0.015636866147883784
7,MiniBatchKMeans_all_var_300,0.014934195702425213,0.015682547027421112
8,KMeans_all_var_400,0.015017740383976479,0.01572454409797976
9,MiniBatchKMeans_all_var_400,0.015198431129008077,0.015705612866146447
10,KMeans_all_var_620,0.015805081027992798,0.016007159095805423
11,MiniBatchKMeans_all_var_620,0.015740013070132834,0.0159215601319228
12,Birch_g_var_20,0.013747265426196895,0.015465038077037117
13,KMeans_g_var_20,0.013719518918072004,0.015451473779292686
14,MiniBatchKMeans_g_var_20,0.013719756771635876,0.015440346263788164
15,Birch_g_var_30,0.013697549161396424,0.015463934583775431
16,KMeans_g_var_30,0.013764473349641341,0.015512406443585727
17,MiniBatchKMeans_g_var_30,0.013806520765552131,0.015459145855337739
18,Birch_g_var_100,0.01386459580901744,0.015475964305246084
19,KMeans_g_var_100,0.013982394869124233,0.015511865722907315
20,MiniBatchKMeans_g_var_100,0.013989092264707438,0.015499440842789312
21,Birch_g_var_206,0.014207982912557975,0.015572136897490589
22,KMeans_g_var_206,0.01431671142321229,0.015571740309148095
23,MiniBatchKMeans_g_var_206,0.014598417789993674,0.015586685725510401
24,Birch_g_var_300,0.014447762389614996,0.015629259864824205
25,KMeans_g_var_300,0.01466885082539412,0.0156563052426992
26,MiniBatchKMeans_g_var_300,0.0147389874372075,0.01555777032675687
27,Birch_g_var_700,0.015689067089730738,0.015852537988182414
28,KMeans_g_var_700,0.015972698850285804,0.015985215253731273
29,MiniBatchKMeans_g_var_700,0.015503737640469905,0.01585172705422043
30,Birch_g_var_1304,0.01701758710619706,0.016559788359571823
31,KMeans_g_var_1304,0.017451413561041046,0.01666418806506242
32,MiniBatchKMeans_g_var_1304,0.017479289869041483,0.016750784170959546
33,Birch_c_var_10,0.01371258446923282,0.015487678853362413
34,KMeans_c_var_10,0.013778696306229491,0.015426778449800825
35,MiniBatchKMeans_c_var_10,0.013706036421225648,0.015443105621732641
36,Birch_c_var_15,0.013569804215216804,0.015430959166547728
37,KMeans_c_var_15,0.013723938298804143,0.015472819413660651
38,MiniBatchKMeans_c_var_15,0.013760822601484007,0.015404068097310483
39,Birch_c_var_20,0.013759080370676392,0.015483671039459426
40,KMeans_c_var_20,0.013745290415101256,0.015475618761446581
41,MiniBatchKMeans_c_var_20,0.01382392172446312,0.015463224663433979
42,Birch_c_var_25,0.013757699144192984,0.015475485424513232
43,KMeans_c_var_25,0.013727918147452531,0.01545113169418648
44,MiniBatchKMeans_c_var_25,0.013645645420309783,0.015444667290503276
45,Birch_c_var_30,0.013751303908620246,0.015437849430794908
46,KMeans_c_var_30,0.013749827403542208,0.015448830475761784
47,MiniBatchKMeans_c_var_30,0.01387865145589841,0.015415496230449162
48,Birch_c_var_100,0.013967023170234818,0.015492399150456191
49,KMeans_c_var_100,0.013902074106940146,0.01550141359280329
50,MiniBatchKMeans_c_var_100,0.014041946062399138,0.015498051055023276
51,Birch_c_var_150,0.014095327883226873,0.015520968557958295
52,KMeans_c_var_150,0.014047873057212916,0.01551715607433238
53,MiniBatchKMeans_c_var_150,0.01416609676668346,0.015533960881025223
54,Birch_c_var_206,0.014059183178870803,0.015521373543659268
55,KMeans_c_var_206,0.01432820673982917,0.01563122086754897
56,MiniBatchKMeans_c_var_206,0.014233772987411335,0.015521385965620305
57,Birch_c_var_250,0.014498533728464576,0.015572931609385268
58,KMeans_c_var_250,0.014433054199288798,0.015615797115423316
59,MiniBatchKMeans_c_var_250,0.01456627527732581,0.015569170571018498
60,Birch_c_var_300,0.01447325766899332,0.015596147012940513
61,KMeans_c_var_300,0.014739486783059549,0.015648468156966012
62,MiniBatchKMeans_c_var_300,0.014670069148760147,0.015687070415881268
63,Birch_c_var_384,0.014461464445119143,0.015548968432215713
64,KMeans_c_var_384,0.014983923210430836,0.01569408788962507
65,MiniBatchKMeans_c_var_384,0.014642829092302297,0.01563849933882551
66,MeanShift_all_var,0.013826936612740075,0.015442786132135488
67,MeanShift_g_var,0.014036804120109396,0.015522803640977996
68,MeanShift_c_var,0.014052546851686002,0.015572053033125074
