parameter_index,parameter,log_loss_train,log_loss_validation
0,Gauss_all_var_15,0.013841661793094115,0.015459125479777272
1,Bayes_all_var_15,0.013681438262027676,0.015432646502022529
2,Gauss_g_var_15,0.013703898248174308,0.015443049503310297
3,Bayes_g_var_15,0.013713518627988046,0.015426081616462268
4,Gauss_c_var_15,0.013737164788939845,0.01537833066710826
5,Bayes_c_var_15,0.013739489299079057,0.015415637923098113
6,Gauss_all_var_20,0.013691552093950302,0.015458478575533471
7,Bayes_all_var_20,0.013747105097379898,0.015432889044918881
8,Gauss_g_var_20,0.013737997428526195,0.015437276864878856
9,Bayes_g_var_20,0.013813510232423606,0.015463722213158348
10,Gauss_c_var_20,0.013744597493978565,0.015450312738610545
11,Bayes_c_var_20,0.01377424729228541,0.015428796847941285
12,Gauss_all_var_25,0.013701795042468736,0.015441953872554485
13,Bayes_all_var_25,0.013769947874078979,0.015464280187177073
14,Gauss_g_var_25,0.013693862755553659,0.015430013014786156
15,Bayes_g_var_25,0.013807974406748021,0.015421329403066722
16,Gauss_c_var_25,0.013730777954145186,0.015464207410061182
17,Bayes_c_var_25,0.013822884599313504,0.015454258458106107
18,Gauss_all_var_30,0.013743828037783568,0.01546831515082182
19,Bayes_all_var_30,0.013704443187487085,0.015406474337721986
20,Gauss_g_var_30,0.013728913764985086,0.015461333740986568
21,Bayes_g_var_30,0.013795219326725111,0.01544200234892634
22,Gauss_c_var_30,0.013686523358434198,0.015409723060179367
23,Bayes_c_var_30,0.01372536095388762,0.015443798385110362
24,Gauss_all_var_35,0.013631680063859607,0.015421583589683142
25,Bayes_all_var_35,0.013728073539260845,0.015407033557828019
26,Gauss_g_var_35,0.013728739442289787,0.01545280767244706
27,Bayes_g_var_35,0.013767333668734432,0.015424608478548155
28,Gauss_c_var_35,0.013681822800073894,0.015418011276370424
29,Bayes_c_var_35,0.013730206824208294,0.015440552863701884
30,Gauss_all_var_40,0.013773093691263307,0.015457230459120355
31,Bayes_all_var_40,0.013765916425246346,0.015450311474400083
32,Gauss_g_var_40,0.01372088193979941,0.015441339510898173
33,Bayes_g_var_40,0.013686362341355996,0.015444940048411031
34,Gauss_c_var_40,0.01369111792214238,0.015424763762463642
35,Bayes_c_var_40,0.013723026222868287,0.01543967853768762
36,Gauss_all_var_45,0.013668516801189343,0.015450241405469852
37,Bayes_all_var_45,0.013770853479693599,0.015473019737038653
38,Gauss_g_var_45,0.013788217806262918,0.015439942384098293
39,Bayes_g_var_45,0.01374178666423593,0.015428291974285484
40,Gauss_c_var_45,0.013779549539777388,0.015436083034623953
41,Bayes_c_var_45,0.013719932765767958,0.015433737445058616
42,Gauss_all_var_50,0.013716438038233006,0.015446490686390752
43,Bayes_all_var_50,0.013718891952865587,0.015388061507968951
44,Gauss_g_var_50,0.013737311352101642,0.015445247278757382
45,Bayes_g_var_50,0.013737083287942485,0.015449917146963667
46,Gauss_c_var_50,0.013750805245333052,0.015425704640203394
47,Bayes_c_var_50,0.013708913970158967,0.015418923091591362
48,Gauss_all_var_100,0.013661341358328517,0.015441986284116927
49,Bayes_all_var_100,0.013685288893431001,0.015448623306982493
50,Gauss_g_var_100,0.013704848451781907,0.015467679590236668
51,Bayes_g_var_100,0.01366643775485055,0.015433405946725794
52,Gauss_c_var_100,0.013709281748320132,0.015464379563450207
53,Bayes_c_var_100,0.013668972324304344,0.015434807113072376
54,Gauss_all_var_150,0.013586095878591749,0.015414155041407317
55,Bayes_all_var_150,0.013643270134996876,0.015455937269701823
56,Gauss_g_var_150,0.013635500409969838,0.015411731452450433
57,Bayes_g_var_150,0.013627112372350739,0.01543700360899736
58,Gauss_c_var_150,0.013636791077563333,0.015438445952687143
59,Bayes_c_var_150,0.013668136785250962,0.015422785670470503
60,Gauss_all_var_200,0.013606167320858445,0.015413390640593294
61,Bayes_all_var_200,0.013672307224849878,0.015470989623801825
62,Gauss_g_var_200,0.013645669785696733,0.015435812886494071
63,Bayes_g_var_200,0.013613952100403563,0.015404441925389032
64,Gauss_c_var_200,0.013612271122866042,0.0154494652264788
65,Bayes_c_var_200,0.013567548886607267,0.015455376480746838
66,Gauss_all_var_206,0.013543102344196962,0.015413884218343322
67,Bayes_all_var_206,0.013516114858956655,0.015447820635783574
68,Gauss_g_var_206,0.013594094961303297,0.015445815598828084
69,Bayes_g_var_206,0.013549462999522645,0.015424667828886775
70,Gauss_c_var_206,0.013536797156957305,0.015422454492293172
71,Bayes_c_var_206,0.013557918525690457,0.015438685421031904
72,Gauss_all_var_250,0.013602257425460345,0.015405766678535233
73,Bayes_all_var_250,0.013618786528851809,0.015436277505286205
74,Gauss_g_var_250,0.013582848624693564,0.015435801163711209
75,Bayes_g_var_250,0.013583785791367134,0.01542916037618397
76,Gauss_c_var_250,0.013602887934480367,0.015444548720932157
77,Bayes_c_var_250,0.01349466073034726,0.015461513822451966
78,Gauss_all_var_300,0.013524996417040613,0.015426182821067799
79,Bayes_all_var_300,0.01359599638859922,0.015422833487407864
80,Gauss_g_var_300,0.013521806746659688,0.015432377987510229
81,Bayes_g_var_300,0.013517224453028361,0.015422421737306962
82,Gauss_c_var_300,0.013528068627203042,0.015445177164767301
83,Bayes_c_var_300,0.01357714940558916,0.015422283272333462
84,Gauss_all_var_350,0.013442280467051827,0.015426660283386743
85,Bayes_all_var_350,0.013475796425970292,0.015430038561142846
86,Gauss_g_var_350,0.01353804202184434,0.01542283706098664
87,Bayes_g_var_350,0.013557908990336738,0.015416662311077337
88,Gauss_c_var_350,0.013458144038499495,0.01540232735912463
89,Bayes_c_var_350,0.013536126907274378,0.015417334090693154
90,Gauss_all_var_400,0.013535820574117483,0.015442870483950152
91,Bayes_all_var_400,0.013460753992351918,0.01541361510397059
92,Gauss_g_var_400,0.013531318981577023,0.015397239388866427
93,Bayes_g_var_400,0.013494390028313211,0.015406216921999569
94,Gauss_c_var_400,0.013483881533227363,0.015422448172695308
95,Bayes_c_var_400,0.013524115365659721,0.015418351174937579
