parameter_index,parameter,log_loss_train,log_loss_validation
0,Bayes_all_var_50,0.013697687537914944,0.015435296406511518
1,Gauss_g_var_400,0.013497964942876582,0.015412430587372846
2,Gauss_c_var_350,0.01351238530742551,0.015438174403850887
3,Bayes_g_var_200,0.013588854301555644,0.015433815380037045
4,Gauss_all_var_250,0.013495331374361558,0.015442707806587202
5,Bayes_g_var_400,0.013464995177140063,0.01538888468490996
6,Bayes_all_var_30,0.013684574070496268,0.015425682188280724
7,Bayes_all_var_35,0.013785742090905464,0.01545932949971541
8,Gauss_c_var_30,0.013656270088369718,0.01545295865246817
9,Gauss_g_var_150,0.01360732006405443,0.015392101311930794
10,Gauss_all_var_200,0.013679926058037964,0.015409890809279129
11,Bayes_all_var_400,0.013549234998971425,0.015420939343427073
12,Gauss_all_var_206,0.013546558436538918,0.015454749830946595
13,Gauss_all_var_150,0.013525378797468448,0.01547157551265322
14,Bayes_c_var_15,0.0137306248751859,0.015441266204505501
15,Bayes_g_var_350,0.013497716170628926,0.015396713087716353
16,Bayes_c_var_350,0.013490152130307525,0.01539565372175302
17,Gauss_c_var_35,0.013758311099371322,0.015381783063812196
18,Bayes_c_var_400,0.013523073788384705,0.015417911244930697
19,Bayes_c_var_50,0.013649122318973481,0.015401333563927918
20,Bayes_g_var_25,0.01370859533174877,0.015433467430152703
21,Gauss_all_var_35,0.013738718349330891,0.015494096360348883
22,Bayes_c_var_300,0.013586421931688708,0.015426047306499917
23,Bayes_g_var_300,0.013480214089735935,0.01538983192203464
24,Gauss_c_var_400,0.013468380571894336,0.015389347978408994
25,Gauss_c_var_206,0.013478167578638846,0.015405669758475812
26,Bayes_c_var_150,0.01359921035535094,0.015447781980787646
27,Bayes_all_var_300,0.013522974872279044,0.015415629770440618
28,Gauss_g_var_350,0.013482903172054729,0.015398357953151684
29,Bayes_g_var_35,0.013665994914066825,0.015423983909957235
30,Bayes_g_var_206,0.013524026511571812,0.015403341969685546
31,Gauss_c_var_40,0.013658165956931822,0.015411408455150113
32,Gauss_c_var_50,0.013711359287285878,0.01540947504361936
33,Bayes_g_var_15,0.013776545723928942,0.015417104899968483
34,Gauss_all_var_300,0.013527742699439075,0.015409330237752535
35,Gauss_all_var_350,0.013444680621302843,0.015426815193846392
36,Bayes_g_var_45,0.013705432919386036,0.01541455719779014
37,Bayes_c_var_20,0.013690931802048053,0.015434098825145142
38,Bayes_g_var_250,0.013528487143866032,0.015402045668515949
39,Gauss_g_var_25,0.013612888903256778,0.015424385405132846
40,Bayes_all_var_350,0.013500267931317787,0.015425585163371827
41,Gauss_g_var_300,0.013574288301191825,0.015430753714469841
42,Bayes_all_var_15,0.013738203350313309,0.015403881484549754
43,Bayes_all_var_20,0.01372246999707191,0.015425345562992323
44,Bayes_g_var_100,0.01378704529603078,0.015443032427321982
45,Bayes_c_var_45,0.013744082329122406,0.015458715971827599
46,Bayes_c_var_100,0.013634309748438687,0.015455675182915709
47,Gauss_g_var_250,0.013681429506221157,0.01537777199386093
48,Gauss_g_var_200,0.013630225101109686,0.015410117399398114
49,Gauss_c_var_45,0.01372961708872058,0.015426177868083668
50,Bayes_all_var_250,0.01363948190129749,0.015403737904382882
51,Bayes_g_var_150,0.01363907533084376,0.015445413893963747
52,Gauss_g_var_20,0.013629772153949797,0.015424027363497425
53,Gauss_c_var_150,0.013588294366362696,0.015412720253844539
54,Bayes_c_var_206,0.013641198962900855,0.015440215759824075
55,Bayes_c_var_40,0.013667281096796862,0.01541376464181028
56,Gauss_g_var_45,0.013820167998066969,0.015435942637513475
57,Bayes_c_var_35,0.013589211302092707,0.01545068832832978
58,Gauss_g_var_40,0.013738153061610072,0.015450712160037197
59,Gauss_all_var_25,0.013632547123401409,0.01541642574943072
60,Gauss_all_var_100,0.013618337907400156,0.015441371713410444
61,Bayes_g_var_30,0.013705954229016635,0.015405025190574673
62,Gauss_all_var_400,0.013544743718891103,0.015405266034393525
63,Gauss_g_var_15,0.013692162928814328,0.015426381637471648
64,Bayes_c_var_30,0.013782631306133466,0.015438184898323725
65,Gauss_c_var_250,0.013518697367940551,0.015408580845898122
66,Bayes_g_var_40,0.01364643066654992,0.015425077015738321
67,Gauss_c_var_300,0.013467742630287664,0.01541708679090477
68,Gauss_g_var_50,0.013758832325117105,0.015429679652151735
69,Gauss_g_var_206,0.01361747111367979,0.015431656183710158
70,Gauss_all_var_50,0.013711150504419694,0.015441612269214106
71,Bayes_all_var_206,0.013626099748765724,0.015450729694476584
72,Bayes_all_var_100,0.013640826758621227,0.015446263638365692
73,Gauss_c_var_200,0.013665329296539908,0.015427762052921797
74,Bayes_g_var_50,0.013750875440142505,0.015448913865651556
75,Gauss_all_var_45,0.013711998156536368,0.015445845053193755
76,Bayes_all_var_40,0.01371354180475355,0.015430083343621302
77,Gauss_c_var_20,0.013705219541607158,0.015404328207678874
78,Birch_c_var_30,0.013693576485050823,0.015440724138509604
79,Birch_c_var_15,0.013681112341264026,0.0154810593395211
80,MiniBatchKMeans_c_var_30,0.013693125131519927,0.015442911999207765
